Publication Number,DWPIManualCodes
US9178889B2,W03-A16E
US9467292B2,W01-A05A
US9467292B2,W01-C01D3C
US9467292B2,W01-C01R
US10204309B2,T01-D01
US10204309B2,T01-H07A
US10204309B2,T01-J05A2A
US10204309B2,T01-N01D2
US10204309B2,T01-S03
US10204309B2,W01-A05A
US10204309B2,W01-A06C4
US10204309B2,W01-A06F
WO2019133800A1,T01-D01
WO2019133800A1,T01-N01A1
WO2019133800A1,T01-N02B1B
WO2019133800A1,T01-N02B2
WO2019133800A1,T01-S03
WO2019232331A1,T01-D01
WO2019232331A1,T01-J05B4A
WO2019232331A1,T01-N01D3
WO2019232331A1,T01-N02A3
WO2019232331A1,T01-N02B1B
US9178873B2,T01-E01B
US9178873B2,T01-E01C
US9178873B2,T01-N02B1B
US9178873B2,T01-N03A1
US9178873B2,T01-S03
US9178873B2,W01-A06E1C
US9648652B2,T01-C03A
US9648652B2,T01-C03C
US9648652B2,T01-F05B2
US9648652B2,T01-N01D2
US9648652B2,T01-N01D3
US9648652B2,T01-N02A1
US9648652B2,T01-N02A3
US9648652B2,T01-S03
US9648652B2,W01-A06C4E
US9648652B2,W01-A06E
US9648652B2,W01-A07G
US9648652B2,W02-C03G1
US7533064B1,T01-D01
US7533064B1,T01-N02A2A
US7533064B1,T01-N02A2B
US7533064B1,T01-N02A2C
US7533064B1,T01-N02B2B
US7533064B1,T01-N03A1
EP3050231A4,T01-C03A
EP3050231A4,T01-C03C
EP3050231A4,T01-N01B1
EP3050231A4,T01-N01D1B
EP3050231A4,T01-S03
EP3050231A4,W01-A03B
EP3050231A4,W01-A06C4
EP3050231A4,W01-A06G2
EP3050231A4,W01-C01D3C
EP3050231A4,W01-C01G8
EP3050231A4,W01-C01P2
EP3050231A4,W02-C03C1E
EP3050231A4,W03-A08E7A
EP3050231A4,W03-A16E
EP3050231A4,W04-X02C
EP3050231A1,T01-C03A
EP3050231A1,T01-C03C
EP3050231A1,T01-N01B1
EP3050231A1,T01-N01D1B
EP3050231A1,T01-S03
EP3050231A1,W01-A03B
EP3050231A1,W01-A06C4
EP3050231A1,W01-A06G2
EP3050231A1,W01-C01D3C
EP3050231A1,W01-C01G8
EP3050231A1,W01-C01P2
EP3050231A1,W02-C03C1E
EP3050231A1,W03-A08E7A
EP3050231A1,W03-A16E
EP3050231A1,W04-X02C
US9894495B2,W01-A06C4
US9894495B2,W01-C01D3C
US9571957B2,T01-J05B4P
US9571957B2,T01-N01D1B
US9571957B2,T01-N01D3
US9571957B2,T01-S03
US9571957B2,T04-K03B
US9571957B2,W01-A06C4
US9571957B2,W01-C01D3C
US9571957B2,W01-C01G8S
US9571957B2,W01-C01R
US9571957B2,W01-C05B5G
US10251041B2,T01-J05B4A
US10251041B2,T01-N01A1
US10251041B2,T01-N01D2
US10251041B2,T01-N02A3C
US10251041B2,T01-N02B1B
US10251041B2,T01-S03
US10251041B2,W01-A06C4
US10251041B2,W01-A06F
US10251041B2,W01-C05B5G
US9769593B2,W01-A06C4
US9769593B2,W01-C01D3C
US9769593B2,W01-C01P2
EP3039794B1,V04-Q02A9
EP3039794B1,V04-Q30G
EP3039794B1,W01-A06C3
EP3039794B1,W02-C03C1A
EP3039794A4,V04-Q02A9
EP3039794A4,V04-Q30G
EP3039794A4,W01-A06C3
EP3039794A4,W02-C03C1A
EP3039794A1,V04-Q02A9
EP3039794A1,V04-Q30G
EP3039794A1,W01-A06C3
EP3039794A1,W02-C03C1A
US10117082B2,W01-A06C4
US10447348B2,T01-L01
US10447348B2,W01-C01D3C
US10447348B2,W01-C01G8S
US10447348B2,W01-C01R
US10447348B2,W02-C02
US10447348B2,W02-C04
US9560503B2,T01-C03C
US9560503B2,T01-N01A1
US9560503B2,T01-N01D
US9560503B2,W01-A06C4
WO2016153564A1,T01-C03A
WO2016153564A1,T01-C03C
WO2016153564A1,T01-J05B4P
WO2016153564A1,T01-J07D3A
WO2016153564A1,T01-N01A2
WO2016153564A1,T01-N03A2
WO2016153564A1,T01-S03
WO2016153564A1,W01-A06C4
WO2016153564A1,W01-C01D3C
WO2016153564A1,W01-C01G8S
US9448698B2,T01-C02B1
US9448698B2,T01-J12
US9448698B2,T01-S03
US9448698B2,W01-C01D3C
US9448698B2,W01-C01G8
US9448698B2,W01-C01P2
US9805730B2,T01-D01
US9805730B2,T01-D02
US9805730B2,T01-S03
US9805730B2,W01-C01D3C
US9805730B2,W01-C01G8
US9805730B2,W01-C01P2
US9805730B2,W01-C01R
EP2838203A3,T01-D01
EP2838203A3,T01-D02
EP2838203A3,T01-S03
EP2838203A3,W01-C01D3C
EP2838203A3,W01-C01G8
EP2838203A3,W01-C01P2
EP2838203A3,W01-C01R
EP2838203A2,T01-D01
EP2838203A2,T01-D02
EP2838203A2,T01-S03
EP2838203A2,W01-C01D3C
EP2838203A2,W01-C01G8
EP2838203A2,W01-C01P2
EP2838203A2,W01-C01R
US10050457B2,T01-C03C
US10050457B2,X16-G01
US9576611B2,T01-J05B3
US9576611B2,T01-J10D
US9576611B2,T01-J11A1
US9576611B2,T01-J12
US9576611B2,T01-J21
US9576611B2,T01-S03
US9576611B2,W03-A13G
US9576611B2,W04-J03C
US9812137B2,T01-D02
US9812137B2,T01-J18
US9812137B2,T01-N01A2D
US9812137B2,T01-N01D1
US9812137B2,T01-N02A3
US9812137B2,T01-N03A1
US9812137B2,T01-S03
US9812137B2,W04-V
US10026403B2,W04-V01
US10026403B2,W04-V04A3A
US10026403B2,W04-V04A5
US10026403B2,W04-V05
US10176801B2,T01-C08A
US10176801B2,T01-J11A1
US10176801B2,T01-J18
US10176801B2,T01-S03
US10176801B2,W04-V01
US10176801B2,W04-V04A1
US10176801B2,W04-V05
US9626963B2,T01-C08A
US9626963B2,T01-J07D3A
US9626963B2,T01-J20B1
US9626963B2,T01-N02A2C
US9626963B2,T01-N02A3C
US9626963B2,T01-S03
US9626963B2,W04-V
US9626963B2,X22-L
US9934784B2,T01-J05B4P
US9934784B2,T01-N01A1
US9934784B2,W04-V01
US9934784B2,W04-V04A1
US9934784B2,W04-V05
US9892732B1,W04-V01
US9892732B1,W04-V04A3A
US9892732B1,W04-V04A5
US10559283B2,T04-F02A2
US10559283B2,T04-H03D
US10559283B2,W01-C01B8H
US10559283B2,W01-C01D3C
US10559283B2,W01-C01G8S
US10559283B2,W01-C01Q6A
EP3602255A1,T04-F02A2
EP3602255A1,T04-H03D
EP3602255A1,W01-C01B8H
EP3602255A1,W01-C01D3C
EP3602255A1,W01-C01G8S
EP3602255A1,W01-C01Q6A
WO2018175351A1,T04-F02A2
WO2018175351A1,T04-H03D
WO2018175351A1,W01-C01B8H
WO2018175351A1,W01-C01D3C
WO2018175351A1,W01-C01G8S
WO2018175351A1,W01-C01Q6A
US9589535B2,T01-J05A
US9589535B2,T01-N01A
US9589535B2,W01-C01D3C
US9589535B2,W04-N05C5
US9589535B2,W04-X02C
US9886786B2,T01-H05B4
US9886786B2,T01-J07D1
US9886786B2,T01-J10B2
US9886786B2,T01-J10C4A
US9886786B2,T01-J10E
US9886786B2,T01-J40C
US9886786B2,T01-N01A
US9886786B2,T01-N02A3C
US9886786B2,T01-S03
US9886786B2,W01-C01D3C
US9886786B2,W01-C01G8S
US9886786B2,W04-W07E
US9886786B2,W04-X01A
US9886786B2,W04-X03E1E
US9886786B2,X23-P06
US10108262B2,P31-A05
US10108262B2,P81-A01
US10108262B2,P81-A50E1
US10108262B2,P81-U13
US10108262B2,T01-J10B2
US10108262B2,T01-N01D2
US10108262B2,T01-N01E
US10108262B2,T01-N02B1E
US10108262B2,T01-S03
US10134368B2,T01-J08A
US10134368B2,T04-H03D
WO2016197043A1,T01-J08A
WO2016197043A1,T04-H03D
US9336541B2,T01-J05B2C
US9336541B2,T01-J10D
US9336541B2,T01-J40C
US9336541B2,T01-M06A1
US9336541B2,T04-H03D
US9336541B2,W04-F01
US9798385B1,P31-A05
US9798385B1,P81-A50E1
US9798385B1,P81-U13
US9798385B1,T01-G11C
US9798385B1,T01-J10B2
US9798385B1,T01-J40
US9798385B1,T01-M06A1
US9798385B1,T01-N01D1B
US9798385B1,T01-N01D2
US9798385B1,T01-N01E
US9798385B1,T01-N02B2A
US9798385B1,T01-N03A1A
US9798385B1,T01-S03
US9798385B1,T04-H03C9
US9798385B1,T04-H03D
US9798385B1,W03-A16C5G
US9798385B1,W04-Q01K
US9798385B1,W04-W07E1
US9953350B2,T01-J04B2
US9953350B2,T01-J05B4B
US9953350B2,T01-J05B4F
US9953350B2,T01-J10B1
US9953350B2,T01-J10B2
US9953350B2,T01-J10B3
US9953350B2,T01-J40C
US9953350B2,T01-M06A1
US9953350B2,T01-N01A
US9953350B2,T01-N01B3
US9953350B2,T01-N02A3
US9953350B2,T04-D03
US9953350B2,W01-C01D3C
US9953350B2,W01-C01G8S
US9953350B2,W04-W07E
EP3479367A4,P81-A50E1
EP3479367A4,P81-U03
EP3479367A4,T01-J07D3A
EP3479367A4,T01-J40C
EP3479367A4,T01-M06S
EP3479367A4,T01-N02A3C
EP3479367A4,T07-A01A
EP3479367A4,T07-A03
EP3479367A4,T07-C03A
EP3479367A4,W04-W07E
EP3479367A1,P81-A50E1
EP3479367A1,P81-U03
EP3479367A1,T01-J07D3A
EP3479367A1,T01-J40C
EP3479367A1,T01-M06S
EP3479367A1,T01-N02A3C
EP3479367A1,T07-A01A
EP3479367A1,T07-A03
EP3479367A1,T07-C03A
EP3479367A1,W04-W07E
US10088676B2,P81-A50E1
US10088676B2,P81-U03
US10088676B2,T01-J07D3A
US10088676B2,T01-J40C
US10088676B2,T01-M06S
US10088676B2,T01-N02A3C
US10088676B2,T07-A01A
US10088676B2,T07-A03
US10088676B2,T07-C03A
US10088676B2,W04-W07E
WO2018005878A9,P81-A50E1
WO2018005878A9,P81-U03
WO2018005878A9,T01-J07D3A
WO2018005878A9,T01-J40C
WO2018005878A9,T01-M06S
WO2018005878A9,T01-N02A3C
WO2018005878A9,T07-A01A
WO2018005878A9,T07-A03
WO2018005878A9,T07-C03A
WO2018005878A9,W04-W07E
WO2018005878A1,P81-A50E1
WO2018005878A1,P81-U03
WO2018005878A1,T01-J07D3A
WO2018005878A1,T01-J40C
WO2018005878A1,T01-M06S
WO2018005878A1,T01-N02A3C
WO2018005878A1,T07-A01A
WO2018005878A1,T07-A03
WO2018005878A1,T07-C03A
WO2018005878A1,W04-W07E
US10062132B2,T01-C03C
US10062132B2,T01-J07D3
US10062132B2,T01-N01A2
US10062132B2,T01-N02A3
US10062132B2,T01-S03
US10062132B2,T07-D01
US10062132B2,T07-F
US10062132B2,W01-A06C4
US10062132B2,X21-A01F
WO2016109076A1,T01-C03C
WO2016109076A1,T01-J07D3
WO2016109076A1,T01-N01A2
WO2016109076A1,T01-N02A3
WO2016109076A1,T01-S03
WO2016109076A1,T07-D01
WO2016109076A1,T07-F
WO2016109076A1,W01-A06C4
WO2016109076A1,X21-A01F
EP3364391A1,T01-G11B
EP3364391A1,T01-J07D1
EP3364391A1,T01-N01D3
EP3364391A1,T01-N02B1G
EP3364391A1,W05-A02
EP3364391A1,W05-A03A
EP3364391A1,W05-A03C
EP3364391A1,W05-B05B2
WO2017065549A1,T01-G11B
WO2017065549A1,T01-J07D1
WO2017065549A1,T01-N01D3
WO2017065549A1,T01-N02B1G
WO2017065549A1,W05-A02
WO2017065549A1,W05-A03A
WO2017065549A1,W05-A03C
WO2017065549A1,W05-B05B2
US9483937B2,T01-J05B4M
US9483937B2,T01-J21C
US9483937B2,T01-S03
US9483937B2,W01-A06C4E
US9483937B2,W01-C01D3C
US9483937B2,W01-C01G8S
US9483937B2,W01-C01R
US10104452B2,T01-J05B4P
US10104452B2,T01-J06A1
US10104452B2,T01-S03
US10104452B2,W05-D07E
US10104452B2,W05-D07M
US9633549B2,T01-S03
US9633549B2,W05-B05
US9412106B2,T01-J12D
US9412106B2,T01-N01A1
US9412106B2,T01-N02B1E
US9412106B2,T05-L02
US9412106B2,T05-L03C5
US9412106B2,W01-A06B7G
US9412106B2,W01-C01D3C
US9401077B2,T01-F01
US9401077B2,T01-F03
US9401077B2,T01-J05A1
US9401077B2,T01-N01A1
US9401077B2,T05-L03C5
US9401077B2,W01-C01D3C
US9401077B2,W01-C01G8
US9401077B2,W01-C01P2
WO2007053828A3,T01-J05A1
WO2007053828A3,T01-J21
WO2007053828A2,T01-J05A1
WO2007053828A2,T01-J21
EP2913805B1,T01-J05A1
EP2913805B1,T05-L02
EP2913805B1,T05-L03
EP2913805B1,W01-C05B3C
EP2913805A3,T01-J05A1
EP2913805A3,T05-L02
EP2913805A3,T05-L03
EP2913805A3,W01-C05B3C
EP2913805A2,T01-J05A1
EP2913805A2,T05-L02
EP2913805A2,T05-L03
EP2913805A2,W01-C05B3C
US8301556B2,T01-J05A1
US8301556B2,T05-L02
US8301556B2,T05-L03
US8301556B2,W01-C05B3C
US8024260B1,T01-J05A1
US8024260B1,T05-L02
US8024260B1,T05-L03
US8024260B1,W01-C05B3C
US9767448B2,T01-J12C1
US9767448B2,T01-J20B1
US9767448B2,T01-J21
US9767448B2,T01-N01A1
US9767448B2,T01-N01A2B
US9767448B2,T01-N01A2J
US9767448B2,T01-N02B1B
US9767448B2,T01-S03
EP2656292A4,T01-J05A1
EP2656292A4,T01-N01A1
EP2656292A4,T05-L02
EP2656292A4,T05-L03C5
EP2656292A4,W01-A03B1
EP2656292A4,W01-C01D3C
US8632000B2,T01-J05A1
US8632000B2,T01-N01A1
US8632000B2,T05-L02
US8632000B2,T05-L03C5
US8632000B2,W01-A03B1
US8632000B2,W01-C01D3C
EP2656292A2,T01-J05A1
EP2656292A2,T01-N01A1
EP2656292A2,T05-L02
EP2656292A2,T05-L03C5
EP2656292A2,W01-A03B1
EP2656292A2,W01-C01D3C
WO2012088512A3,T01-J05A1
WO2012088512A3,T01-N01A1
WO2012088512A3,T05-L02
WO2012088512A3,T05-L03C5
WO2012088512A3,W01-A03B1
WO2012088512A3,W01-C01D3C
WO2012088512A2,T01-J05A1
WO2012088512A2,T01-N01A1
WO2012088512A2,T05-L02
WO2012088512A2,T05-L03C5
WO2012088512A2,W01-A03B1
WO2012088512A2,W01-C01D3C
US9547854B2,T01-N01A1
US9547854B2,T01-N02A3C
US9547854B2,T01-S03
US9547854B2,W01-C01D3C
US9547854B2,W01-C01G8S
WO2016089943A1,T01-N01A1
WO2016089943A1,T01-N02A3C
WO2016089943A1,T01-S03
WO2016089943A1,W01-C01D3C
WO2016089943A1,W01-C01G8S
US10140657B2,T01-C03C
US10140657B2,T01-D01
US10140657B2,T01-J05B4P
US10140657B2,T01-N01A1
US10140657B2,T01-N02B1B
US10140657B2,T01-S03
US10552820B2,T01-J21
US10552820B2,T01-M06S
US10552820B2,T01-N01A1
US10552820B2,T01-N02A3C
US10552820B2,T01-N02B1B
US10552820B2,T01-S03
US10147083B2,T01-F05B2
US10147083B2,T01-J12
US10147083B2,T01-J21
US10147083B2,T01-M06S
US10147083B2,T01-N01A1
US10147083B2,T01-N02A3C
US10147083B2,T01-S03
US9659443B2,T01-J05A1
US9659443B2,T01-J05B3
US9659443B2,T01-J08A3
US9659443B2,T01-J30B
US9659443B2,T01-S03
US9659443B2,T05-H05E
US9659443B2,T05-H08C1
US9659443B2,W04-X02A
EP2622585B1,T01-C03C
EP2622585B1,T01-D01
EP2622585B1,T01-N01A1
EP2622585B1,T01-N01D3
EP2622585B1,T01-N03A1
EP2622585B1,T05-D01A
EP2622585B1,W01-A05A1
EP2622585B1,W01-A06C4E
EP2622585B1,W01-C01D3C
EP2622585B1,W01-C01G6E
US8868462B2,T01-C03C
US8868462B2,T01-D01
US8868462B2,T01-N01A1
US8868462B2,T01-N01D3
US8868462B2,T01-N03A1
US8868462B2,T05-D01A
US8868462B2,W01-A05A1
US8868462B2,W01-A06C4E
US8868462B2,W01-C01D3C
US8868462B2,W01-C01G6E
EP2622585A1,T01-C03C
EP2622585A1,T01-D01
EP2622585A1,T01-N01A1
EP2622585A1,T01-N01D3
EP2622585A1,T01-N03A1
EP2622585A1,T05-D01A
EP2622585A1,W01-A05A1
EP2622585A1,W01-A06C4E
EP2622585A1,W01-C01D3C
EP2622585A1,W01-C01G6E
WO2013087126A1,T01-C03C
WO2013087126A1,T01-D01
WO2013087126A1,T01-N01A1
WO2013087126A1,T01-N01D3
WO2013087126A1,T01-N03A1
WO2013087126A1,T05-D01A
WO2013087126A1,W01-A05A1
WO2013087126A1,W01-A06C4E
WO2013087126A1,W01-C01D3C
WO2013087126A1,W01-C01G6E
US10275758B2,T01-D01
US10275758B2,T01-N01A1
US10275758B2,T01-N01B1
US10275758B2,T01-N02A3C
US10275758B2,T04-K01B
US10275758B2,T04-K02
US10275758B2,T04-K03A
US10275758B2,T05-L02
US10275758B2,W01-A05A
US10275758B2,W01-C01D3C
US10275758B2,W01-C05B3C
US10275758B2,W01-C05B6
US8983873B2,T01-D01
US8983873B2,T01-N01A1
US8983873B2,T01-N01B1
US8983873B2,T01-N02A3C
US8983873B2,T04-K01B
US8983873B2,T04-K02
US8983873B2,T04-K03A
US8983873B2,T05-L02
US8983873B2,W01-A05A
US8983873B2,W01-C01D3C
US8983873B2,W01-C05B3C
US8983873B2,W01-C05B6
EP2763109A1,T01-D01
EP2763109A1,T01-N01A1
EP2763109A1,T01-N01B1
EP2763109A1,T01-N02A3C
EP2763109A1,T04-K01B
EP2763109A1,T04-K02
EP2763109A1,T04-K03A
EP2763109A1,T05-L02
EP2763109A1,W01-A05A
EP2763109A1,W01-C01D3C
EP2763109A1,W01-C05B3C
EP2763109A1,W01-C05B6
EP2559012B1,T01-D01
EP2559012B1,T01-N01A1
EP2559012B1,T01-N01B1
EP2559012B1,T01-N02A3C
EP2559012B1,T04-K01B
EP2559012B1,T04-K02
EP2559012B1,T04-K03A
EP2559012B1,T05-L02
EP2559012B1,W01-A05A
EP2559012B1,W01-C01D3C
EP2559012B1,W01-C05B3C
EP2559012B1,W01-C05B6
EP2559012A1,T01-D01
EP2559012A1,T01-N01A1
EP2559012A1,T01-N01B1
EP2559012A1,T01-N02A3C
EP2559012A1,T04-K01B
EP2559012A1,T04-K02
EP2559012A1,T04-K03A
EP2559012A1,T05-L02
EP2559012A1,W01-A05A
EP2559012A1,W01-C01D3C
EP2559012A1,W01-C05B3C
EP2559012A1,W01-C05B6
US9251513B2,T01-D01
US9251513B2,T01-N01A1
US9251513B2,T01-N02A3C
US9251513B2,T04-K01B
US9251513B2,T04-K02
US9251513B2,T04-K03A
US9251513B2,T05-D01A
US9251513B2,W01-A05A
US9251513B2,W01-C01D3C
EP2561490B1,T01-D01
EP2561490B1,T01-N01A1
EP2561490B1,T01-N02A3C
EP2561490B1,T04-K01B
EP2561490B1,T04-K02
EP2561490B1,T04-K03A
EP2561490B1,T05-D01A
EP2561490B1,W01-A05A
EP2561490B1,W01-C01D3C
EP2561490A1,T01-D01
EP2561490A1,T01-N01A1
EP2561490A1,T01-N02A3C
EP2561490A1,T04-K01B
EP2561490A1,T04-K02
EP2561490A1,T04-K03A
EP2561490A1,T05-D01A
EP2561490A1,W01-A05A
EP2561490A1,W01-C01D3C
US10490012B2,T01-N01D3
US10490012B2,T01-S03
US10490012B2,T04-C01
US10490012B2,T04-K02
US10490012B2,T05-H02B
US10490012B2,W01-A06B8A
EP1356438B1,T01-N01A1
EP1356438B1,T01-N02B1B
EP1356438B1,T01-S03
EP1356438B1,T05-L02
EP1356438B1,W01-A05B
EP2209095A1,T01-N01A1
EP2209095A1,T01-N02B1B
EP2209095A1,T01-S03
EP2209095A1,T05-L02
EP2209095A1,W01-A05B
US7430537B2,T01-N01A1
US7430537B2,T01-N02B1B
US7430537B2,T01-S03
US7430537B2,T05-L02
US7430537B2,W01-A05B
EP1356438A2,T01-N01A1
EP1356438A2,T01-N02B1B
EP1356438A2,T01-S03
EP1356438A2,T05-L02
EP1356438A2,W01-A05B
WO2002005224A3,T01-N01A1
WO2002005224A3,T01-N02B1B
WO2002005224A3,T01-S03
WO2002005224A3,T05-L02
WO2002005224A3,W01-A05B
WO2002005224A2,T01-N01A1
WO2002005224A2,T01-N02B1B
WO2002005224A2,T01-S03
WO2002005224A2,T05-L02
WO2002005224A2,W01-A05B
US9424702B2,T01-N02B1B
US9424702B2,T01-S03
US9424702B2,T05-D01
US10546439B2,T01-C03C
US10546439B2,T01-J05B4P
US10546439B2,T01-N02A3
US10546439B2,T01-N02B2
US10546439B2,T05-D01
US10546439B2,W01-C01D3C
US10546439B2,W01-C01G8S
US10198887B2,T01-J05A2
US10198887B2,T01-J12C1
US10198887B2,T01-S03
US10198887B2,T05-D01
US9858570B2,T01-N01A1
US9858570B2,T01-N01D
US9858570B2,T01-N02B1B
US9858570B2,W01-A06B8A
US9858570B2,W01-C05B6
US9858570B2,W02-C03B1
US9922325B2,T01-H01B3
US9922325B2,T01-J08A2
US9922325B2,T01-N01A1
US9922325B2,T01-N03A2
US9922325B2,T01-S03
US10553032B2,T01-J05A
US10553032B2,T01-J10B2A
US10553032B2,T01-J40C
US10553032B2,W04-W07E
US9219792B2,T01-N01D1
US9219792B2,T01-N01D3
US9219792B2,T01-N02A2C
US9219792B2,T01-N03B1
US9219792B2,T01-N03B3
US9219792B2,W01-A06
US10600222B2,T01-J05A2
US10600222B2,T01-J10C
US10600222B2,T01-J12
US10600222B2,T01-N01A2
US10600222B2,T01-S03
US10600222B2,W01-C01D3C
US10600222B2,W01-C01G8A
US10600222B2,W01-C01G8S
EP3005236A4,T01-J04C
EP3005236A4,T01-J10B1
EP3005236A4,T01-J10E
EP3005236A4,T01-M02
EP3005236A4,T01-N01A2D
EP3005236A4,T01-N01D1B
EP3005236A4,T01-N01D2
EP3005236A4,T01-N03A2
EP3005236A4,T01-S03
US9542736B2,T01-J04C
US9542736B2,T01-J10B1
US9542736B2,T01-J10E
US9542736B2,T01-M02
US9542736B2,T01-N01A2D
US9542736B2,T01-N01D1B
US9542736B2,T01-N01D2
US9542736B2,T01-N03A2
US9542736B2,T01-S03
EP3005236A1,T01-J04C
EP3005236A1,T01-J10B1
EP3005236A1,T01-J10E
EP3005236A1,T01-M02
EP3005236A1,T01-N01A2D
EP3005236A1,T01-N01D1B
EP3005236A1,T01-N01D2
EP3005236A1,T01-N03A2
EP3005236A1,T01-S03
WO2016033060A1,T01-J05B4P
WO2016033060A1,T01-J10B3A
WO2016033060A1,T01-N01D2
WO2016033060A1,T01-N01D3
WO2016033060A1,T01-N02A2C
WO2016033060A1,T01-N02A3
WO2016033060A1,T01-S03
WO2016033060A1,W01-A06C4
WO2016033060A1,W01-A06G5C
WO2016033060A1,W01-A06G5E
WO2016033060A1,W01-C01D3C
US8756099B2,T01-N01A2
WO2016109106A1,B11-C03
WO2016109106A1,B11-C11
WO2016109106A1,T01-N02A3
WO2016109106A1,T01-S03
WO2016109106A1,T05-H04
WO2016109106A1,T05-H08C1
WO2016109106A1,W01-C01D3C
WO2016109106A1,W01-C01G8S
WO2016109106A1,X25-F03B1
WO2016109106A1,X25-P02
US10319003B2,T01-J05B4P
US10319003B2,T01-S03
US10529039B2,T01-C03C
US10529039B2,T01-J07D3
US10529039B2,T01-N01A1
US10529039B2,T01-N01A2
US10529039B2,T01-N02A2
US10529039B2,T01-S03
US10529039B2,W01-A06C4
US9633398B2,T01-J07D1
US9633398B2,T01-N01A1
US9633398B2,T01-N01A2E
US9633398B2,T01-N02A3C
US9633398B2,T01-S03
US9818089B2,T01-J05A
US9818089B2,T01-S03
WO2013170880A1,T01-N01A1
WO2013170880A1,T01-N01A3
WO2013170880A1,T01-N02A3C
WO2013170880A1,W01-C01D3C
EP2984617A4,NA
EP3033727A4,T01-N01A1
EP3033727A4,T01-S03
EP3033727A1,T01-N01A1
EP3033727A1,T01-S03
US10546321B2,T01-N01A1
US10546321B2,T01-N02B2
US10546321B2,T01-N03A1
US10546321B2,T01-S03
EP2984617A1,T01-J05B4P
EP2984617A1,T01-M06A1
EP2984617A1,T01-N01A1
EP2984617A1,T01-S03
EP2984617A1,W01-C01D3C
US10424013B2,T01-J07D1
US10424013B2,T01-N01A1
US10424013B2,T01-N03
US10210570B2,T01-J07D1
US10210570B2,T01-J11E
US10210570B2,T01-J12
US10210570B2,T01-N01A1
US10210570B2,T01-N02B1B
US10210570B2,T01-S03
US10467689B2,T01-H01D
US10467689B2,T01-N01A1
US10467689B2,T01-S03
US10453057B2,T01-C03
US10453057B2,T01-N01A1
US10453057B2,T01-N01D3
US10453057B2,T01-N02A2C
US10453057B2,T01-S03
WO2016205543A1,T01-C03
WO2016205543A1,T01-N01A1
WO2016205543A1,T01-N01D3
WO2016205543A1,T01-N02A2C
WO2016205543A1,T01-S03
US10467709B2,T01-N01A1
US10467709B2,T01-N01A2
US10467709B2,T01-N03A1
US10467709B2,T01-S03
US9501767B2,T01-M06A1A
US9501767B2,T01-N01A1
US9501767B2,T01-N01D
US9501767B2,T01-N02A3C
US9501767B2,T01-S03
US9501767B2,T05-L02
US9501767B2,T05-L03C5
US9501767B2,W01-A06B5A
US9501767B2,W01-A06B7E
US9501767B2,W01-C01D3C
US9477952B2,S06-K07A1
US9477952B2,S06-K07A4
US9477952B2,S06-K07C1
US9477952B2,S06-K07C6
US9477952B2,T01-H01B4
US9477952B2,T01-M02
US9477952B2,T01-N01A1
US9477952B2,T01-N01D1B
US9477952B2,T01-N01D2
US9477952B2,T01-N01D3
US9477952B2,T01-N02A3
US9477952B2,T01-S03
US9477952B2,T05-L02
US9477952B2,T05-L03A1
US9477952B2,T05-L03C5
US9477952B2,W01-C01D3C
US10318948B2,T01-F05B2
US10318948B2,T01-J12
US10318948B2,T01-M06S
US10318948B2,T01-N01A1
US10318948B2,T01-N02A2C
US10318948B2,T01-N02A3C
US10318948B2,T01-N02B1B
US10318948B2,T01-S03
US10325249B2,T01-J12
US10325249B2,T01-N01A1
US10325249B2,T01-N02A3C
US10325249B2,T01-N02B1B
US10325249B2,T01-S03
US10325249B2,T05-L02
US9582787B2,T01-J20B1
US9582787B2,T01-N01A1
US9582787B2,T01-N02B2
US9582787B2,T01-S03
US9875491B2,T01-J05B4P
US9875491B2,T01-N01A1
US9875491B2,T01-N01A2A
US9875491B2,T01-N01A2F
US9875491B2,T01-N01A2J
US9875491B2,T01-S03
US9875491B2,T05-L02
WO2006071998A3,T01-J05B4P
WO2006071998A3,T01-N01A1
WO2006071998A3,T01-N01A2A
WO2006071998A3,T01-N01A2F
WO2006071998A3,T01-N01A2J
WO2006071998A3,T01-S03
WO2006071998A3,T05-L02
WO2006071998A2,T01-J05B4P
WO2006071998A2,T01-N01A1
WO2006071998A2,T01-N01A2A
WO2006071998A2,T01-N01A2F
WO2006071998A2,T01-N01A2J
WO2006071998A2,T01-S03
WO2006071998A2,T05-L02
US9292838B2,T01-N01A1
US9292838B2,T01-N01D
US9292838B2,T01-N03A1
US9292838B2,T01-S03
US8050997B1,T01-N01A1
US8050997B1,T01-N01D
US8055582B2,T01-J05B4P
US8055582B2,T01-N01A1
US8055582B2,T01-N01D
US8055582B2,T01-S03
US8571972B2,T01-J05B4M
US8571972B2,T01-N01A2E
US8571972B2,T01-N02B2C
US8554669B2,T01-J05A1
US8554669B2,T01-J05B4P
US8688580B1,T01-N01A1
US8688580B1,T01-N01D
US8688580B1,T01-S03
US8688580B1,T05-L02
US8688580B1,T05-L07
EP2507762A4,T01-N01A1
EP2507762A4,T01-N02B1B
EP2507762A1,T01-N01A1
EP2507762A1,T01-N02B1B
WO2011069071A1,T01-N01A1
WO2011069071A1,T01-N02B1B
US8719164B2,T01-N01A1
US8719164B2,T01-N01A2
US8719164B2,T01-N01A4
US8719164B2,T01-N02B1B
US8719159B2,T01-N01A1
US8719159B2,T01-N01D2
US8719159B2,T01-N02B1C
US8719159B2,T01-S03
