"Publication Number";"Publication Year";"Earliest Priority Year";"Application Year";"DWPI Class";"Assignee/Applicant First";"Inventor - w/address";"Inventor - DWPI";"Inventor Count";"Publication Country Code";"Publication Kind Code";"Publication Date";"Estimated Remaining Life";"Dead/Alive";"Publication Month";"Application Date";"Application Month";"Priority Date";"Priority Month";"Priority Year(s)";"Related Applications";"IPC - Current - DWPI";"IPC Class - DWPI";"IPC Class Group - DWPI";"IPC Section - DWPI";"IPC Subclass - DWPI";"IPC Subgroup - DWPI";"CPC - Current - DWPI";"CPC - Current Primary - DWPI";"CPC - Original Primary - DWPI";"CPC Class - DWPI";"DWPI Manual Codes";"Cited Refs - Patent";"Count of Cited Refs - Patent";"Count of Cited Refs - Non-patent";"Citing Patents";"Count of Citing Patents";"Designated States";"Language of Publication";"DWPI Family Members Dead/Alive";"INPADOC Family ID";"Item Number";"Strategic Importance";"Probability of Grant";"Domain Influence";"Combined Patent Impact";"Probability of Early Lapse"
"US9679294B2";2017;2012;2016;"T01 E";"PAYPAL INC.,San Jose,CA,US";"Scipioni German,San Jose,CA,US";"SCIPIONI G";1;"US";"B2";2017-06-13;"4806 Days , (13 Years, 1 Months)";"Alive";"06";2016-04-29;"04";"2012-09-04 | 2013-06-28";"09 | 06 | 09 | 06 | 04";"2012 | 2013 | 2016";"US15142552A,2016-04-29 | US2012696593P,2012-09-04 | US13930481A,2013-06-28";"G06F001730 | G06K001906 | G06K000500 | G06K000918 | G06Q002034 | G06Q002040 | G07F000710";"G06, G07";"G06F0017, G06K0019, G06K0005, G06K0009, G06Q0020, G07F0007";"G";"G06F, G06K, G06Q, G07F";"G06F001730, G06K001906, G06K000500, G06K000918, G06Q002034, G06Q002040, G07F000710";"G06Q0020409 | G06F00165838 | G06F00165846 | G06F0016951 | G06K000918 | G06K001906009 | G06Q0020347 | G06Q0020354 | G06Q0020355 | G06Q0020405 | G07F00071008";"G06Q0020409";"G06Q0020354 | G06Q0020409";"G06, G07";"T01-J05B4F | T01-J10B2 | T01-N01A1 | T01-N02A3 | T01-N02B1B";"US20130166441A1 | US20130211935A1 | US8444048B1 | US20120292388A1 | US20090254484A1 | US20130325682A1 | US20140061299A1";7;0;"US10269019B2";1;NA;"EN";"US20160239830A1 Alive | US9679294B2 Alive";"20140306US20140061299A1";758;1161;"100.0";394;537;333
"US9536260B2";2017;2015;2015;"T01 E";"PayPal Inc.,San Jose,CA,US";"Zamer Kamal,Austin,TX,US";"ZAMER K";1;"US";"B2";2017-01-03;"5447 Days , (14 Years, 10 Months)";"Alive";"01";2015-03-31;"03";"2015-03-31";"03 | 03";"2015";"US14674730A,2015-03-31";"G06K000500 | G06Q003006 | G06Q005000";"G06";"G06K0005, G06Q0030, G06Q0050";"G";"G06K, G06Q";"G06K000500, G06Q003006, G06Q005000";"G06Q00300641 | G06Q0030016 | G06Q005001 | H04M00035183 | H04M2203252";"G06Q00300641";"G06Q00300641";"G06, H04";"T01-J12B1 | T01-M06S | T01-N01A2 | T01-N02A3C | T01-S03";"US20100222025A1 | US9001136B2 | US9171327B2 | US20110179018A1 | US8824647B2";5;1;NA;0;NA;"EN";"US20160292778A1 Alive | WO2016161188A1 Dead | US9536260B2 Alive | AU2016243746A1 Indeterminate | CN107430673A Alive";"20161006US20160292778A1";759;277;"100.0";284;287;483
"WO2016161188A1";2016;2015;2016;"T01 E";"PAYPAL INC.,US";"ZAMER Kamal,US";"ZAMER K";1;"WO";"A1";2016-10-06;NA;"Dead";"10";2016-03-31;"03";"2015-03-31";"03 | 03";"2015";"US14674730A,2015-03-31";"G06K000500 | G06Q003006 | G06Q005000";"G06";"G06K0005, G06Q0030, G06Q0050";"G";"G06K, G06Q";"G06K000500, G06Q003006, G06Q005000";"G06Q00300641 | G06Q0030016 | G06Q005001 | H04M00035183 | H04M2203252";"G06Q00300641";"G06Q00300641";"G06, H04";"T01-J12B1 | T01-M06S | T01-N01A2 | T01-N02A3C | T01-S03";"US20100222025A1 | US20110179018A1 | US9001136B2 | US8824647B2 | US9171327B2";5;0;NA;0;"XX N AE;AG;AL;AM;AO;AT;AU;AZ;BA;BB;BG;BH;BN;BR;BW;BY;BZ;CA;CH;CL;CN;CO;CR;CU;CZ;DE;DK;DM;DO;DZ;EC;EE;EG;ES;FI;GB;GD;GE;GH;GM;GT;HN;HR;HU;ID;IL;IN;IR;IS;JP;KE;KG;KN;KP;KR;KZ;LA;LC;LK;LR;LS;LU;LY;MA;MD;ME;MG;MK;MN;MW;MX;MY;MZ;NA;NG;NI;NO;NZ;OM;PA;PE;PG;PH;PL;PT;QA;RO;RS;RU;RW;SA;SC;SD;SE;SG;SK;SL;SM;ST;SV;SY;TH;TJ;TM;TN;TR;TT;TZ;UA;UG;US;UZ;VC;VN;ZA;ZM;ZW |  EP R AL;AT;BE;BG;CH;CY;CZ;DE;DK;EE;ES;FI;FR;GB;GR;HR;HU;IE;IS;IT;LT;LU;LV;MC;MK;MT;NL;NO;PL;PT;RO;RS;SE;SI;SK;SM;TR |  OA R BF;BJ;CF;CG;CI;CM;GA;GN;GQ;GW;KM;ML;MR;NE;SN;TD;TG |  AP R BW;GH;GM;KE;LR;LS;MW;MZ;NA;RW;SD;SL;ST;SZ;TZ;UG;ZM;ZW |  EA R AM;AZ;BY;KG;KZ;RU;TJ;TM";"EN";"US20160292778A1 Alive | WO2016161188A1 Dead | US9536260B2 Alive | AU2016243746A1 Indeterminate | CN107430673A Alive";"20161006US20160292778A1";7591;10;"0.73";174;162;NA
"US7527195B2";2009;2005;2005;"T01 E";"Bill Me Later Inc.,Timonium,MD,US";"Keithley Thomas H.,Monkton,MD,US | Talbert Vincent W.,Cockeysville,MD,US | Lavelle Mark L.,Govans,MD,US";"KEITHLEY T H | LAVELLE M L | TALBERT V W";3;"US";"B2";2009-05-05;"1946 Days , (5 Years, 3 Months)";"Alive";"05";2005-04-11;"04";"2005-04-11";"04 | 04";"2005";"US2005102941A,2005-04-11";"G07F001900 (IPC 1-7) | G06K000500 | G06Q002040 | G06Q004000 | G06Q004002 | G07F001900";"G07, G06";"G07F0019, G06K0005, G06Q0020, G06Q0040";"G";"G07F, G06K, G06Q";"G07F001900 (IPC 1-7), G06K000500, G06Q002040, G06Q004000, G06Q004002, G07F001900";"G06Q00204016 | G06Q002040 | G06Q0040025";"G06Q00204016";NA;"G06";"T01-N01A1 | T01-N01A2J";"US20020007341A1 | US6675153B1 | US5870721A | US4191860A | US20020032860A1 | US20020069166A1 | US20020099649A1 | US20030149656A1 | US4291198A | US20040186807A1 | US20050038715A1 | US6868408B1 | US20070056019A1 | US7051001B1 | US20040111362A1 | US5940811A | US4969183A | US6820202B1 | US6332134B1 | US20060174426A1 | US20020007302A1 | US6032136A | US20050107793A1 | US5120945A | US6915272B1 | US5446885A | US6098053A | US20020120537A1 | US7263506B2 | US6188994B1 | US20060064372A1 | US20060184428A1 | US20020107793A1 | US20030036996A1 | US7177836B1 | US6883022B2 | US20020112160A2 | US20060184570A1 | US20010034724A1 | US6957334B1 | US20060226216A1 | US6477578B1 | US6980970B2 | WO1988010467A1 | US6341724B2 | US6839690B1 | US6029890A | US20070063017A1 | US20020052833A1 | US4757267A | US6289319B1 | US3920908A | US6324524B1 | US20060289621A1 | US6351739B1 | US20060178988A1 | US20080052244A1 | US6505171B1 | US7006986B1 | US20070038485A1 | US5010238A | US5012077A | US20070080207A1 | US20030120615A1 | US20050125336A1 | US5329589A | US5793028A | US6105007A | US20040151292A1 | US6785661B1 | US20060184449A1 | US6122624A | US20010034702A1 | US6970853B2 | US20020198822A1 | WO2000067177A2 | US4996705A | US5866889A | US20080033775A1 | US20080046334A1 | US20020035538A1 | US20050071266A1 | US20070094114A1 | US6078891A | US5537315A | US20020120864A1 | US7107243B1 | US6317783B1 | US20020178071A1 | US20060266819A1 | US6000832A | US5794221A | US20060248016A1 | US20070005445A1 | WO2000002150A1 | US6029150A | US5883810A | US6202053B1 | US20030061157A1 | US6704714B1 | US6227447B1 | US20020087467A1 | US20020156688A1 | US6976008B2 | EP338568A2 | WO2002023439A1";106;1;"AU2012302018B2 | AU2017204144B2 | US10043221B2 | US10140616B2 | US10269015B2 | US10552835B2 | US20040210519A1 | US20070012757A1 | US20070240227A1 | US20070290035A1 | US20080301019A1 | US20090030710A1 | US20090106151A1 | US20100005029A1 | US20100070424A1 | US20100174624A1 | US20100287099A1 | US20100305993A1 | US20110016015A1 | US20110016041A1 | US20110016052A1 | US20110218905A1 | US20120101930A1 | US20130054438A1 | US20130226721A1 | US20140108238A1 | US20140289124A1 | US20170116584A1 | US20170124082A1 | US7953647B2 | US8109435B2 | US8165938B2 | US8589285B2 | US8600873B2 | US8645250B2 | US8666829B1 | US8666861B2 | US8700540B1 | US8756178B1 | US8833642B2 | US8844031B1 | US8924279B2 | US8924290B2 | US9064212B2 | US9311630B2 | US9754392B2 | US9942218B2 | US9998450B2";48;NA;"EN";"US20060226216A1 Alive | WO2006110392A2 Dead | AU2006235024A1 Alive | WO2006110392A3 Dead | IN200704015P2 Dead | CA2604913A1 Alive | US7527195B2 Alive | AU2006235024B2 Alive | CA2604913C Alive";"20061012US20060226216A1";760;984;"100.0";5841;5128;NA
"US9330384B2";2016;2012;2013;"T01 E |  W01 E";"PayPal Inc.,San Jose,CA,US";"Scipioni German,San Jose,CA,US";"SCIPIONI G";1;"US";"B2";2016-05-03;"4806 Days , (13 Years, 1 Months)";"Alive";"05";2013-06-28;"06";"2012-09-04";"09 | 09 | 06";"2012 | 2013";"US2012696593P,2012-09-04 | US13930481A,2013-06-28";"G06K000500 | G06Q002034 | G07F000710";"G06, G07";"G06K0005, G06Q0020, G07F0007";"G";"G06K, G06Q, G07F";"G06K000500, G06Q002034, G07F000710";"G06Q0020409 | G06F00165838 | G06F00165846 | G06F0016951 | G06K000918 | G06K001906009 | G06Q0020347 | G06Q0020354 | G06Q0020355 | G06Q0020405 | G07F00071008";"G06Q0020409";"G06Q0020354";"G06, G07";"T01-H01B3 | T01-N01A1 | T01-S03 | W01-C01P2";"US20130325682A1 | US20120292388A1 | US20130166441A1 | US20130211935A1";4;0;"US10269019B2 | US9785947B2";2;NA;"EN";"US20140061299A1 Alive | US9330384B2 Alive";"20140306US20140061299A1";761;1338;"100.0";799;912;NA
"US9785947B2";2017;2012;2016;"T01 E |  T04 E";"PayPal Inc.,San Jose,CA,US";"Scipioni German,San Jose,CA,US";"SCIPIONI G";1;"US";"B2";2017-10-10;"4806 Days , (13 Years, 1 Months)";"Alive";"10";2016-06-17;"06";"2012-09-04 | 2013-06-28 | 2016-04-29";"09 | 06 | 04 | 09 | 06 | 04 | 06";"2012 | 2013 | 2016";"US15186198A,2016-06-17 | US2012696593P,2012-09-04 | US15142552A,2016-04-29 | US13930481A,2013-06-28";"G06F001730 | G06K001906 | G06K000500 | G06K000918 | G06Q002034 | G06Q002040 | G07F000710";"G06, G07";"G06F0017, G06K0019, G06K0005, G06K0009, G06Q0020, G07F0007";"G";"G06F, G06K, G06Q, G07F";"G06F001730, G06K001906, G06K000500, G06K000918, G06Q002034, G06Q002040, G07F000710";"G06Q0020409 | G06F00165838 | G06F00165846 | G06F0016951 | G06K000918 | G06K001906009 | G06Q0020347 | G06Q0020354 | G06Q0020355 | G06Q0020405 | G07F00071008";"G06Q0020409";"G06Q0020409";"G06, G07";"T01-J05A | T01-J05B4P | T01-J10B2 | T01-N01A1 | T01-S03 | T04-D01 | T04-K02 | T04-K03D";"US20130166441A1 | US20090254484A1 | US20120292388A1 | US20130211935A1 | US20130325682A1 | US9330384B2 | US20140061299A1 | US20160239830A1";8;0;"US10269019B2";1;NA;"EN";"US20160300228A1 Alive | US9785947B2 Alive";"20140306US20140061299A1";762;984;"100.0";468;568;336
"US9589301B2";2017;2000;2013;"T01 E";"PayPal Inc.,San Jose,CA,US";"Bennett James D.,Hroznetin,CZ | Winslade Christopher C.,Chicago,IL,US";"BENNETT J D | WINSLADE C C";2;"US";"B2";2017-03-07;"934 Days , (2 Years, 6 Months)";"Alive";"03";2013-07-31;"07";"2000-03-21 | 2000-06-26 | 2000-06-26 | 2000-06-26 | 2001-03-14 | 2011-09-01 | 2012-07-16";"03 | 06 | 06 | 06 | 03 | 09 | 07 | 03 | 06 | 06 | 06 | 03 | 09 | 07 | 07";"2000 | 2001 | 2011 | 2012 | 2013";"US13955901A,2013-07-31 | US2000190825P,2000-03-21 | US2000214183P,2000-06-26 | US2000213912P,2000-06-26 | US2000214136P,2000-06-26 | US2000213912P,2000-06-26 | US13550044A,2012-07-16 | US13224052A,2011-09-01 | US2001808722A,2001-03-14";"G06K000500 | G06Q003006 | G06Q004002";"G06";"G06K0005, G06Q0030, G06Q0040";"G";"G06K, G06Q";"G06K000500, G06Q003006, G06Q004002";"G06Q0040025 | G06Q00300601 | G06Q00300617";"G06Q0040025";"G06Q0040025";"G06";"T01-N01A1 | T01-N03A1";"US8504438B2 | US7542922B2 | US8407251B2 | US7289964B1 | US7610221B2 | US7908226B2 | US8175909B1 | US8185487B2 | US5870771A | US5903721A | US5963915A | US6141006A | US6141915A | US6289319B1 | US6324521B1 | US6385594B1 | US6898570B1 | US6970852B1 | US7165051B2 | US8706592B2 | US6879965B2 | US7330873B2 | US7249097B2 | US7376603B1 | US7938316B2 | US8065201B2 | US8177124B2 | US5940811A | US6052674A | US6055514A | US6141653A | US6167385A | US6332135B1 | US6477580B1 | US6530880B2 | US6587841B1 | US6795812B1 | US6868395B1 | US6957192B1 | US7013289B2 | US7103568B1 | US7219080B1 | US8032409B1 | US7660751B2 | US8447067B2 | US5732400A | US5797133A | US6208979B1 | US6233566B1 | US6311169B2 | US6393436B1 | US6405281B1 | US6466981B1 | US6507823B1 | US6611816B2 | US6766302B2 | US6785661B1 | US6895388B1 | US7082412B1 | US7171371B2 | US7310617B1 | US7353192B1 | US7395259B2 | US7505939B2 | US7657267B2 | US8145563B2 | US8160304B2 | US6175922B1 | US6285983B1 | US6615253B1 | US6934692B1 | US6988085B2 | US7010508B1 | US7181427B1 | US7194436B2 | US8918338B1 | US7606760B2 | US6405181B2 | US7363267B1 | US7418424B2 | US7542921B1 | US7627531B2 | US7813822B1 | US5239462A | US5984180A | US6236975B1 | US6324524B1 | US6453306B1 | US6477575B1 | US6567791B2 | US6658393B1 | US6847942B1 | US7069234B1 | US5851149A | US7769681B2 | US7987003B2 | US6014645A | US6144948A | US6484149B1 | US6684196B1 | US6735572B2 | US7047219B1 | US7133935B2 | US6697824B1 | US7124101B1 | US7539628B2 | US7729959B1 | US7742966B2 | US7942316B2 | US8051078B2 | US8117120B2 | US8165916B2 | US8457449B2 | US5765144A | US5339392A | US6029149A | US6349300B1 | US6434607B1 | US6928412B2 | US7133846B1 | US7143063B2 | US8036941B2 | US6796494B1 | US6088686A | US7630986B1 | US7660752B2 | US8181851B2 | US8306937B2 | US8359231B2 | US6131087A | US6693236B1 | US6950807B2 | US7096354B2";133;0;NA;0;NA;"EN";"US20140025563A1 Alive | US9589301B2 Alive";"20011101US20010037288A1";763;454;"100.0";615;60;820
"US10269019B2";2019;2012;2017;"T01 E";"PAYPAL INC.,San Jose,CA,US";"Scipioni German,San Jose,CA,US";"SCIPIONI G";1;"US";"B2";2019-04-23;"4806 Days , (13 Years, 1 Months)";"Alive";"04";2017-10-04;"10";"2012-09-04 | 2013-06-28 | 2016-04-29 | 2016-06-17";"09 | 06 | 04 | 06 | 09 | 06 | 04 | 06 | 10";"2012 | 2013 | 2016 | 2017";"US15724754A,2017-10-04 | US2012696593P,2012-09-04 | US15186198A,2016-06-17 | US15142552A,2016-04-29 | US13930481A,2013-06-28";"G06F001730 | G06K001906 | G06K000500 | G06K000918 | G06Q002034 | G06Q002040 | G07F000710";"G06, G07";"G06F0017, G06K0019, G06K0005, G06K0009, G06Q0020, G07F0007";"G";"G06F, G06K, G06Q, G07F";"G06F001730, G06K001906, G06K000500, G06K000918, G06Q002034, G06Q002040, G07F000710";"G06Q0020409 | G06F00165838 | G06F00165846 | G06F0016951 | G06K000918 | G06K001906009 | G06Q0020347 | G06Q0020354 | G06Q0020355 | G06Q0020405 | G07F00071008";"G06Q0020409";"G06Q0020409";"G06, G07";"T01-J05B4P | T01-J10B2 | T01-N01A1";"US9785947B2 | US8444048B1 | US9679294B2 | US20130166441A1 | US20130325682A1 | US20160239830A1 | US20090254484A1 | US20120292388A1 | US9330384B2 | US20140061299A1 | US20160300228A1 | US20130211935A1";12;0;NA;0;NA;"EN";"US20180121920A1 Alive | US10269019B2 Alive";"20140306US20140061299A1";764;63;"100.0";358;412;250
"US9639868B2";2017;2014;2016;"T01 E |  W01 E";"PAYPAL INC.,San Jose,CA,US";"Eramian David Edward,San Jose,CA,US";"ERAMIAN D E";1;"US";"B2";2017-05-02;"5197 Days , (14 Years, 2 Months)";"Alive";"05";2016-01-04;"01";"2014-07-24";"07 | 07 | 01";"2014 | 2016";"US14987728A,2016-01-04 | US14340069A,2014-07-24";"G06K000500 | G06Q001004 | G06Q003002 | H04W000402 | H04W000404 | H04W004024";"G06, H04";"G06K0005, G06Q0010, G06Q0030, H04W0004, H04W0040";"G, H";"G06K, G06Q, H04W";"G06K000500, G06Q001004, G06Q003002, H04W000402, H04W000404, H04W004024";"G06Q00300281 | G06Q001004 | H04W0004025 | H04W0004029 | H04W000433 | H04W0040244";"G06Q00300281";"G06Q00300281";"G06, H04";"T01-C03C | T01-J05A | T01-J05B4P | T01-S03 | W01-A06C4";"US20040181467A1 | US20150026006A1 | US20040111320A1 | US20150025969A1 | US20070100677A1 | US20030220835A1 | US20080238009A1 | US20130317944A1 | US20140337151A1 | US20140214573A1 | US20140099975A1 | US20150012385A1 | US20130282533A1 | US20080290182A1 | US20130297422A1";15;0;NA;0;NA;"EN";"US20160125483A1 Alive | US9639868B2 Alive";"20160105US9230272B1";765;277;"100.0";358;35;425
"US9734652B1";2017;2016;2016;"T01 E |  T04 E |  W01 E";"PAYPAL INC.,San Jose,CA,US";"Metral Max Edward,Brookline,MA,US";"METRAL M E";1;"US";"B1";2017-08-15;"5859 Days , (16 Years)";"Alive";"08";2016-05-16;"05";"2016-05-16";"05 | 05";"2016";NA;"G06K001907 | G06K000500 | G06K000708 | G07F000708";"G06, G07";"G06K0019, G06K0005, G06K0007, G07F0007";"G";"G06K, G07F";"G06K001907, G06K000500, G06K000708, G07F000708";"G07F000708 | G06K0007087 | G06K001907 | G06Q0020341";"G07F000708";"G07F000708";"G07, G06";"T01-F04 | T01-N01D3 | T01-S03 | T04-B | T04-C01 | T04-K02C | W01-C01D3C | W01-C01G8S";"US8108317B2 | US8918855B2 | US20160162883A1 | US8407097B2 | US20160335531A1";5;0;"US10490012B2 | US20180276935A1";2;NA;"EN";"US9734652B1 Alive";"20170815US9734652B1";766;63;"100.0";321;381;350
"US9230272B1";2016;2014;2014;"T01 E |  W01 E";"PAYPAL INC.,San Jose,CA,US";"Eramian David Edward,San Jose,CA,US";"ERAMIAN D E";1;"US";"B1";2016-01-05;"5197 Days , (14 Years, 2 Months)";"Alive";"01";2014-07-24;"07";"2014-07-24";"07 | 07";"2014";NA;"G06K000500 | G06Q003002 | H04W000402 | H04W000404";"G06, H04";"G06K0005, G06Q0030, H04W0004";"G, H";"G06K, G06Q, H04W";"G06K000500, G06Q003002, H04W000402, H04W000404";"G06Q00300281 | G06Q001004 | H04W0004025 | H04W0004029 | H04W000433 | H04W0040244";"G06Q00300281";"G06Q00300281";"G06, H04";"T01-C03C | T01-J05B4P | T01-N01A | T01-S03 | W01-A06C4 | W01-C01D3C | W01-C01G8S | W01-C01R";"US20150026006A1 | US20130317944A1 | US20080290182A1 | US20130282533A1 | US20150012385A1 | US20040181467A1 | US20030220835A1 | US20130297422A1 | US20140337151A1";9;0;"US10325294B2 | US10412096B2 | US20160033287A1 | US20160063477A1 | US9652762B2 | US9797731B2";6;NA;"EN";"US9230272B1 Alive | US20160027073A1 Alive";"20160105US9230272B1";767;277;"100.0";1094;974;NA
"US10049315B2";2018;2014;2016;"T01 E |  T04 E";"PAYPAL INC.,San Jose,CA,US";"Chatterton Geoffrey W.,Santa Clara,CA,US | Pahuja Anupam,Singapore,SG";"CHATTERTON G W | PAHUJA A";2;"US";"B2";2018-08-14;"5336 Days , (14 Years, 7 Months)";"Alive";"08";2016-08-22;"08";"2014-12-10";"12 | 12 | 08";"2014 | 2016";"US15243151A,2016-08-22 | US14566479A,2014-12-10";"G06F002162 | G06F002177 | G06K001906 | G06K0019073 | G06K000500 | G06K000708 | G06Q002032 | G06Q002034 | G06Q002040 | G07F001900 | G07F000708 | G06F002132";"G06, G07";"G06F0021, G06K0019, G06K0005, G06K0007, G06Q0020, G07F0019, G07F0007";"G";"G06F, G06K, G06Q, G07F";"G06F002162, G06F002177, G06K001906, G06K0019073, G06K000500, G06K000708, G06Q002032, G06Q002034, G06Q002040, G07F001900, G07F000708, G06F002132";"G06K001906206 | G06F00216245 | G06F002177 | G06K0007087 | G06K001907309 | G06K001907372 | G06K001907381 | G06Q00203278 | G06Q002034 | G06Q002040145 | G06Q00204016 | G07F00070813 | G07F00192055 | G06F002132";"G06K001906206";"G06K001906206";"G06, G07";"T01-J05A | T01-J12C1 | T04-D04 | T04-K02";"US20090145972A1 | US20020047049A1 | US20120235958A1 | US20060032906A1 | US20090145964A1 | US20130065564A1 | US7896251B2 | US20130207786A1 | US20110174874A1 | US20130297503A1 | US20130200999A1 | US20080056544A1 | US6079621A | US20090159713A1 | US20120143754A1 | US20130320080A1 | US5386104A";17;0;NA;0;NA;"EN";"US20160358059A1 Alive | US10049315B2 Alive";"20160616US20160171361A1";768;277;"100.0";615;568;254
"US9552580B2";2017;2014;2015;"T01 E";"PayPal Inc.,San Jose,CA,US";"Dides Emil,San Jose,CA,US | Kamalie Shereen,San Jose,CA,US";"DIDES E | KAMALIE S";2;"US";"B2";2017-01-24;"5322 Days , (14 Years, 6 Months)";"Alive";"01";2015-12-16;"12";"2014-11-26";"11 | 11 | 12";"2014 | 2015";"US14971626A,2015-12-16 | US14555144A,2014-11-26";"G06F000116 | G06F000708 | G06K001906 | G06K000500 | G06Q002032 | G06Q002034 | G06Q002036 | G06Q002040 | G07G000100";"G06, G07";"G06F0001, G06F0007, G06K0019, G06K0005, G06Q0020, G07G0001";"G";"G06F, G06K, G06Q, G07G";"G06F000116, G06F000708, G06K001906, G06K000500, G06Q002032, G06Q002034, G06Q002036, G06Q002040, G07G000100";"G06Q002036 | G06F000116 | G06Q00200658 | G06Q0020227 | G06Q00203223 | G06Q00203227 | G06Q0020341 | G06Q0020351 | G06Q0020353 | G06Q00203572 | G06Q002040145 | G06Q0020405 | G06Q00204097 | G07G00010018";"G06Q002036";"G06Q002036";"G06, G07";"T01-J05A | T01-J12C1 | T01-S03";"US20050236480A1 | US20140359714A1 | US20150269538A1 | US20090068982A1 | US20120270528A1 | US20130095754A1 | US20140070774A1";7;0;NA;0;NA;"EN";"US20160148196A1 Alive | US9552580B2 Alive";"20160301US9275389B1";769;277;"100.0";873;787;361
"US9524499B2";2016;2011;2012;"T01 E |  T05 E |  W01 E";"PayPal Inc.,San Jose,CA,US";"Granbery John Hastings,Los Altos,CA,US";"GRANBERY J H";1;"US";"B2";2016-12-20;"4556 Days , (12 Years, 5 Months)";"Alive";"12";2012-09-27;"09";"2011-09-28";"09 | 09 | 09";"2011 | 2012";"US2011540351P,2011-09-28 | US13629266A,2012-09-27";"G06G000112 | G06Q002000 | G06Q002020 | G06Q002022 | G06Q002032 | G06Q002036 | G06Q002038";"G06";"G06G0001, G06Q0020";"G";"G06G, G06Q";"G06G000112, G06Q002000, G06Q002020, G06Q002022, G06Q002032, G06Q002036, G06Q002038";"G06Q002020 | G06Q00203227 | G06Q00203278 | G06Q002036 | G06Q002038215 | G06Q00203823 | G06Q00203829";"G06Q002020";"G06Q002020";"G06";"T01-M06A1 | T01-N01A1 | T01-S03 | T05-L01D | W01-C01D3C | W01-C01G8 | W01-C01P2";"US20120295580A1 | US20090143104A1 | US20120209749A1 | US20130029646A1 | US20110251962A1 | US20110042456A1 | US20100082481A1 | US6105006A | US20100005294A1 | US20120239417A1 | US20130218721A1 | US20130110658A1 | US20070005685A1";13;1;"US10614455B2 | US20150242844A1";2;NA;"EN";"US20130080276A1 Alive | WO2013049528A1 Dead | US9524499B2 Alive";"20130328US20130080276A1";770;1338;"100.0";3375;3098;325
"US10395069B2";2019;2016;2018;"T01 E |  W01 E";"PAYPAL INC.,San Jose,CA,US";"Todasco Michael Charles,Santa Clara,CA,US";"TODASCO M C";1;"US";"B2";2019-08-27;"6099 Days , (16 Years, 8 Months)";"Alive";"08";2018-07-17;"07";"2016-12-23";"12 | 12 | 07";"2016 | 2018";"US16037523A,2018-07-17 | US15390032A,2016-12-23";"G06F002134 | G06F002188 | H04L002906 | H04W001208 | H04W001212";"G06, H04";"G06F0021, H04L0029, H04W0012";"G, H";"G06F, H04L, H04W";"G06F002134, G06F002188, H04L002906, H04W001208, H04W001212";"G06F002188 | G06F002134 | H04L0063105 | H04L0063107 | H04W001208 | H04W001212 | H04W00121206 | G06F22212143";"G06F002188";"G06F002188";"G06, H04";"T01-J05B4P | T01-J12C | T01-N02A3 | T01-N02B1B | T01-S03 | W01-C01D3C | W01-C01G8S";"US7318170B2 | US20140307084A1 | US8538401B2 | US8634863B2";4;0;NA;0;NA;"EN";"US20190034670A1 Alive | US10395069B2 Alive";"20180628US20180181777A1";771;277;"100.0";321;319;297
"US10025958B1";2018;2016;2016;"T01 E |  W01 E";"PayPal Inc.,San Jose,CA,US";"Todasco Michael Charles,Santa Clara,CA,US";"TODASCO M C";1;"US";"B1";2018-07-17;"6099 Days , (16 Years, 8 Months)";"Alive";"07";2016-12-23;"12";"2016-12-23";"12 | 12";"2016";NA;"G06F002162 | G06F002188 | H04L002906";"G06, H04";"G06F0021, H04L0029";"G, H";"G06F, H04L";"G06F002162, G06F002188, H04L002906";"G06F002188 | G06F002134 | H04L0063105 | H04L0063107 | H04W001208 | H04W001212 | H04W00121206 | G06F22212143";"G06F002188";"G06F002188";"G06, H04";"T01-J05B4P | T01-J12C | T01-N02A3 | T01-N02B1B | T01-S03 | W01-C01D3C | W01-C01G8S";"US20140307084A1";1;0;NA;0;NA;"EN";"US20180181777A1 Alive | US10025958B1 Alive";"20180628US20180181777A1";772;277;"100.0";284;287;266
